"filename", "language", "Properties", "XML", "GDScript", "GDResource", "Markdown", "GDScene", "HTML", "JavaScript", "gdshader", "JSON", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\nightscratch\Documents\rpg-game\additional_composite.gd", "GDScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Core\DialogicGameHandler.gd", "GDScript", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 77, 115, 434
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Core\DialogicResourceUtil.gd", "GDScript", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 25, 76, 292
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Core\DialogicUtil.gd", "GDScript", 0, 0, 446, 0, 0, 0, 0, 0, 0, 0, 0, 63, 168, 677
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Core\Dialogic_Subsystem.gd", "GDScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 42
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Core\index_class.gd", "GDScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 34, 42, 153
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_exports.gd", "GDScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 92
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_exports.tscn", "GDScene", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_layout.gd", "GDScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 45
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_layout.tscn", "GDScene", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 15, 65
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_main.gd", "GDScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28, 102
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_main.tscn", "GDScene", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 13, 73
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_main_exports.gd", "GDScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 81
"c:\Users\nightscratch\Documents\rpg-game\addons\dialogic\Editor\CharacterEditor\char_edit_p_section_main_exports.tscn", "GDScene", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
